musicianId,instrumentId,primary
20000000-0000-0000-0000-000000000014,30000000-0000-0000-0000-000000000001,true
20000000-0000-0000-0000-000000000019,30000000-0000-0000-0000-000000000001,false
20000000-0000-0000-0000-000000000007,30000000-0000-0000-0000-000000000002,true
20000000-0000-0000-0000-000000000007,30000000-0000-0000-0000-000000000003,false
20000000-0000-0000-0000-000000000007,30000000-0000-0000-0000-000000000004,false
20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000005,true
20000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000006,true
20000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000007,true
20000000-0000-0000-0000-000000000004,30000000-0000-0000-0000-000000000008,true
20000000-0000-0000-0000-000000000005,30000000-0000-0000-0000-000000000009,true
20000000-0000-0000-0000-000000000006,30000000-0000-0000-0000-000000000010,true
