musicianId,bandId,role,since,until
20000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000001,Lead Vocals / Guitar,1991-01-01,
20000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000001,Drums,1991-01-01,
20000000-0000-0000-0000-000000000003,10000000-0000-0000-0000-000000000001,Bass,1991-01-01,
20000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000001,Violin,1991-01-01,2018-05-01
20000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000001,Saxophone,1991-01-01,2008-08-19
20000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000001,Saxophone,2008-08-20,
20000000-0000-0000-0000-000000000014,10000000-0000-0000-0000-000000000002,Lead Guitar,1974-01-01,2020-10-06
20000000-0000-0000-0000-000000000015,10000000-0000-0000-0000-000000000002,Drums,1974-01-01,2020-10-06
20000000-0000-0000-0000-000000000016,10000000-0000-0000-0000-000000000002,Lead Vocals,1974-01-01,1985-04-01
20000000-0000-0000-0000-000000000018,10000000-0000-0000-0000-000000000002,Bass,1974-01-01,2006-01-01
20000000-0000-0000-0000-000000000017,10000000-0000-0000-0000-000000000002,Lead Vocals,1985-07-01,1996-09-01
20000000-0000-0000-0000-000000000017,10000000-0000-0000-0000-000000000002,Lead Vocals,2004-06-01,2005-01-01
20000000-0000-0000-0000-000000000016,10000000-0000-0000-0000-000000000002,Lead Vocals,2006-01-01,2020-10-06
20000000-0000-0000-0000-000000000019,10000000-0000-0000-0000-000000000002,Bass,2006-01-01,2020-10-06
20000000-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000003,Guitar / Vocals,1966-07-01,1968-11-26
20000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000003,Bass / Vocals,1966-07-01,1968-11-26
20000000-0000-0000-0000-000000000009,10000000-0000-0000-0000-000000000003,Drums,1966-07-01,1968-11-26
20000000-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000004,Guitar / Vocals,1970-06-01,1971-05-01
20000000-0000-0000-0000-000000000010,10000000-0000-0000-0000-000000000004,Keys / Vocals,1970-06-01,1971-05-01
20000000-0000-0000-0000-000000000011,10000000-0000-0000-0000-000000000004,Bass,1970-06-01,1971-05-01
20000000-0000-0000-0000-000000000012,10000000-0000-0000-0000-000000000004,Drums,1970-06-01,1971-05-01
20000000-0000-0000-0000-000000000013,10000000-0000-0000-0000-000000000004,Guest Guitarist,1970-08-01,1970-11-01
